Rural population (% of total population),Rural population growth (annual %),Rural population,Cereal yield (kg per hectare),Surface area (sq. km),Livestock production index (2014-2016 = 100),Food production index (2014-2016 = 100),Crop production index (2014-2016 = 100),Cereal production (metric tons),Land area (sq. km),Country
42.051,-0.0043490093161371,1517554.0,6578.7,70280.0,84.84,85.8,93.91,1803330.0,68890.0,Ireland
41.827,0.25712292650762,1521461.0,7322.0,70280.0,88.47,90.63,107.35,2150592.0,68890.0,Ireland
41.581,0.412958925692059,1527757.0,6297.1,70280.0,89.95,90.53,94.76,1952836.0,68890.0,Ireland
41.336,0.452124356721185,1534680.0,6236.6,70280.0,92.61,92.76,93.36,1875440.0,68890.0,Ireland
41.09,0.530427996078837,1542842.0,6985.7,70280.0,97.12,97.39,98.67,2025967.0,68890.0,Ireland
40.845,0.734957208184355,1554223.0,7795.7,70280.0,91.61,92.51,99.25,2177490.0,68890.0,Ireland
40.601,0.992979890975544,1569733.0,7580.9,70280.0,93.0,93.85,100.11,2169041.0,68890.0,Ireland
40.351,1.06752150311726,1586580.0,6567.0,70280.0,88.94,89.63,94.98,1966955.0,68890.0,Ireland
40.075,0.942611959089625,1601606.0,7100.7,70280.0,89.86,91.02,100.09,2152353.0,68890.0,Ireland
39.798,1.1347048588372,1619883.0,8077.8,70280.0,89.69,92.42,113.99,2507508.0,68890.0,Ireland
39.523,1.48531869396253,1644123.0,6904.7,70280.0,87.53,88.09,92.73,1947926.0,68890.0,Ireland
39.262,2.03341122091489,1677897.0,7465.2,70280.0,87.44,87.34,86.85,2090356.0,68890.0,Ireland
39.06,2.37517216550866,1718227.0,7188.8,70280.0,89.67,89.03,84.16,2006462.0,68890.0,Ireland
38.859,1.52277722103303,1744592.0,7644.9,70280.0,85.65,86.59,94.61,2463993.0,68890.0,Ireland
38.658,0.497045373350955,1753285.0,6887.2,70280.0,84.91,84.63,83.19,2066175.0,68890.0,Ireland
38.458,0.0261760026860715,1753744.0,7456.3,70280.0,88.68,88.28,85.81,2043781.0,68890.0,Ireland
38.258,-0.0852825485168318,1752249.0,8441.5,70280.0,89.98,90.93,99.14,2512187.0,68890.0,Ireland
38.058,-0.100435696057477,1750490.0,6741.2,70280.0,86.0,85.79,85.28,2127500.0,68890.0,Ireland
37.859,0.0022850483574406,1750530.0,7802.1,70280.0,89.23,90.01,96.85,2403000.0,68890.0,Ireland
37.66,0.204015610184789,1754105.0,8471.4,70280.0,95.66,96.26,101.25,2599817.0,68890.0,Ireland
37.462,0.417687502515423,1761447.0,9008.2,70280.0,100.29,100.66,103.53,2635749.0,68890.0,Ireland
37.263,0.59619350841637,1771980.0,8222.8,70280.0,104.05,103.08,95.22,2312985.0,68890.0,Ireland
37.053,0.523520295467759,1781281.0,8783.6,70280.0,111.36,110.06,99.13,2394646.0,68890.0,Ireland
36.83,0.635216255554204,1792632.0,6839.5,70280.0,114.61,110.06,73.32,1784900.0,68890.0,Ireland
36.595,0.72755808584729,1805722.0,8505.2,70280.0,117.21,114.32,90.49,2267990.0,68890.0,Ireland
36.347,0.354961102302517,1812143.0,7124.8,70280.0,120.42,115.91,79.1,1892640.0,68890.0,Ireland
36.088,0.134832187466441,1814588.0,5875.043333333334,70280.0,79.04899999999999,80.93450000000003,96.24499999999998,1889469.8,68890.0,Ireland
65.045,-0.8577170136213863,5761501.0,2246.5249999999996,92138.21999999997,76.0355,87.70166666666667,97.73266666666667,1410658.6666666667,91518.07333333329,Portugal
64.656,0.205256495211845,5773339.0,784.8,92120.0,31.56,71.38,104.5,1483275.0,91500.0,Portugal
64.278,0.135272074537453,5781154.0,880.6,92120.0,33.22,78.37,115.69,1764009.0,91500.0,Portugal
63.899,-0.187803139154703,5770307.0,828.6,92120.0,33.39,82.61,123.09,1665281.0,91500.0,Portugal
63.517,-0.544152594298365,5738993.0,814.3,92120.0,33.77,77.33,113.7,1537996.0,91500.0,Portugal
63.134,-1.01260339043221,5681173.0,855.7,92120.0,37.3,84.67,124.44,1595082.0,91500.0,Portugal
62.75,-1.36421226154755,5604196.0,804.4,92120.0,38.1,67.52,92.95,1347319.0,91500.0,Portugal
62.364,-1.25132909292671,5534506.0,1097.1,92120.0,37.23,79.31,115.23,1790402.0,91500.0,Portugal
61.975,-1.05335447960813,5476514.0,1136.4,92120.0,38.25,78.2,112.44,1941496.0,91500.0,Portugal
61.586,-1.52705341619351,5393520.0,953.4,92120.0,43.85,75.86,103.04,1555225.0,91500.0,Portugal
61.196,-1.52153254427079,5312077.0,1038.3,92120.0,45.18,83.51,115.37,1676672.0,91500.0,Portugal
60.803,-1.06767456236792,5255663.0,1321.1,92120.0,42.75,74.14,100.12,1928939.0,91500.0,Portugal
60.409,-0.804400539291365,5213556.0,1148.5,92120.0,43.85,75.86,102.32,1669134.0,91500.0,Portugal
60.015,-0.623415214482326,5181155.0,1158.8,92120.0,47.63,79.81,106.33,1529337.0,91500.0,Portugal
59.618,0.731172223962113,5219177.0,1130.4,92120.0,49.62,84.67,113.37,1524470.0,91500.0,Portugal
59.221,3.13228940018412,5385244.0,1137.5,92120.0,53.09,78.21,99.01,1602626.0,91500.0,Portugal
58.821,2.16636680559534,5503181.0,1082.4,92120.0,51.47,74.9,94.8,1628897.0,91500.0,Portugal
58.422,0.381106572200857,5524194.0,942.9,92120.0,54.17,67.8,80.09,1017335.0,91500.0,Portugal
58.021,0.390208757351143,5545792.0,890.8,92120.0,56.83,71.14,83.86,1119802.0,91500.0,Portugal
57.619,0.376728812023748,5566724.0,982.5,92120.0,56.62,85.06,108.62,1134210.0,91500.0,Portugal
57.215,0.377802486382811,5587795.0,1274.8,92120.0,60.61,77.05,91.05,1407823.0,91500.0,Portugal
56.779,0.10213482325608,5593505.0,1050.0,92120.0,64.87,71.75,78.12,1089103.0,91500.0,Portugal
56.262,-0.303382504564961,5576561.0,1205.6,92120.0,66.22,85.27,100.95,1291407.0,91500.0,Portugal
55.743,-0.462787463676632,5550813.0,1078.0,92120.0,63.47,72.5,80.34,1145688.0,91500.0,Portugal
55.223,-0.552687010167343,5520219.0,1491.8,92120.0,60.28,78.81,94.22,1469416.0,91500.0,Portugal
54.702,-0.674379853761101,5483117.0,1437.3,92120.0,60.77,80.1,96.13,1379569.0,91500.0,Portugal
54.18,-0.867898885703137,5435735.0,1771.5,92120.0,64.17,82.77,98.21,1656348.0,91500.0,Portugal
53.658,-0.995067303326304,5381914.0,1804.6,92120.0,71.05,90.4,106.35,1719077.0,91500.0,Portugal
53.133,-1.08719537119574,5323719.0,1642.0,92120.0,73.42,71.96,71.55,1465352.0,91500.0,Portugal
52.609,-1.1370214952672,5263530.0,2018.0,92120.0,79.6,90.27,99.43,1833280.0,91500.0,Portugal
52.085,-1.21896259630044,5199759.0,1877.7,92120.0,84.44,96.89,107.39,1427010.0,91500.0,Portugal
51.531,-1.29981714602408,5132609.0,2162.1,92120.0,89.34,101.88,112.47,1789423.0,91500.0,Portugal
50.87,-1.36877013342541,5062834.0,1805.4,92120.0,91.81,90.83,90.68,1387311.0,91500.0,Portugal
50.211,-1.18161192249293,5003363.0,2049.0,92120.0,92.84,89.47,87.31,1478937.0,91500.0,Portugal
49.551,-1.05407061211432,4950901.0,2406.9,92120.0,90.84,90.88,91.54,1630319.0,91500.0,Portugal
48.891,-0.994710316305461,4901898.0,2063.6,92120.0,92.25,93.16,94.56,1394255.0,91500.0,Portugal
48.23,-0.98521267774866,4853841.0,2462.4,92120.0,93.45,98.82,103.75,1607468.0,91500.0,Portugal
47.572,-0.927224645496734,4809043.0,2187.2,92120.0,97.9,93.89,91.4,1509650.0,91500.0,Portugal
46.914,-0.887449186867129,4766554.0,2760.6,92120.0,100.54,88.16,79.16,1398328.0,91500.0,Portugal
46.257,-0.844689245429108,4726461.0,2795.0,92120.0,102.37,100.8,100.15,1655612.0,91500.0,Portugal
45.601,-0.725470459508988,4692296.0,2793.5,92120.0,103.01,93.18,86.08,1614404.0,91500.0,Portugal
44.956,-0.719308849796293,4658665.0,2645.3,92120.0,100.84,93.32,87.94,1303355.0,91500.0,Portugal
44.334,-0.845565725825526,4619439.0,2918.6,92120.0,104.83,95.64,88.92,1502831.0,91500.0,Portugal
43.713,-1.0352269940753,4571864.0,2643.2,92120.0,99.47,92.54,87.63,1191546.0,91500.0,Portugal
43.093,-1.18936360531004,4517810.0,2965.6,92120.0,103.19,98.88,95.95,1374973.0,91500.0,Portugal
42.478,-1.2518796388543,4461605.0,2114.0,92090.0,104.63,92.35,83.12,823082.0,91470.0,Portugal
41.863,-1.27807932681599,4404945.0,3209.0,92090.0,99.74,94.55,90.77,1197572.0,91470.0,Portugal
41.251,-1.27639048864408,4349078.0,3415.7,92090.0,100.25,89.97,82.13,1066037.0,91470.0,Portugal
40.641,-1.34559480148316,4290949.0,3589.7,92090.0,105.23,93.54,84.46,1311584.0,91470.0,Portugal
40.036,-1.40452050290432,4231103.0,3289.9,92210.0,103.17,95.98,90.44,1118225.0,91590.0,Portugal
39.433,-1.47167181941218,4169291.0,3351.3,92210.0,101.9,97.01,93.2,1019204.0,91590.0,Portugal
38.833,-1.68036588063916,4099817.0,4088.4,92210.0,100.84,92.88,86.56,1157421.0,91590.0,Portugal
38.237,-1.95208934345597,4020561.0,4091.6,92210.0,98.64,91.77,86.33,1178144.0,91590.0,Portugal
37.648,-2.10120852375124,3936962.0,4336.4,92225.2,95.11,94.28,93.64,1362407.0,91605.2,Portugal
37.064,-2.10253827959223,3855050.0,4416.0,92225.6,94.64,93.67,92.9,1333258.0,91605.6,Portugal
36.486,-1.98589290587833,3779248.0,4606.9,92225.6,102.28,107.53,111.64,1240203.0,91605.6,Portugal
35.914,-1.89560817826379,3708283.0,4422.4,92225.6,103.08,98.8,95.46,1138085.0,91605.6,Portugal
35.348,-1.83243296504409,3640950.0,4759.7,92225.6,102.14,110.24,116.56,1125906.0,91605.6,Portugal
34.789,-1.75415509659692,3577639.0,4809.0,92225.6,101.91,101.77,101.51,1114440.0,91605.6,Portugal
34.236,-1.57862340437318,3521605.0,5144.0,92230.0,103.63,111.1,116.81,1163890.0,91605.6,Portugal
33.69,-1.50254046515311,3469087.0,4849.3,92230.0,105.48,107.09,108.18,1056070.0,91605.6,Portugal
33.151,-1.59007942179161,3414362.0,2246.5249999999996,92138.21999999997,76.0355,87.70166666666667,97.73266666666667,1410658.6666666667,91518.07333333329,Portugal
44.19272,-0.7062420405956339,5606799.6,3917.452896713251,163998.6867425,101.66751562715669,95.48704707556934,95.85159799085572,11086141.224315561,157568.8918018889,Rest of Europe
43.57524,-0.5338873463504804,5580041.68,2026.6375,165702.87958333333,69.781875,72.0675,78.774375,7148729.5625,159837.19583333333,Rest of Europe
42.9366,-0.6776870701334335,5554020.0,2161.7625,165702.87958333333,71.59937500000001,72.425,78.085625,7695885.375,159836.36250000002,Rest of Europe
42.283,-0.7606630561332698,5521808.72,2163.53125,165702.87958333333,71.44125,74.7,82.10625,7691220.625,159836.77916666667,Rest of Europe
41.62964,-0.7552378678465737,5489360.44,2285.84375,165702.87958333333,73.140625,75.329375,82.77250000000001,8022882.625,159836.77916666667,Rest of Europe
40.97948,-0.8114081297451764,5453726.28,2374.54375,165702.87958333333,76.62375,77.245625,83.775,8410996.625,159836.36250000002,Rest of Europe
40.34808,-0.844545592592353,5417354.0,2329.75625,165702.87958333333,79.23875,80.11749999999999,86.3875,8389179.8125,159835.94583333333,Rest of Europe
39.7358,-0.8473068947621424,5383251.4,2605.90625,165702.87958333333,81.796875,83.544375,92.77375,9319695.0625,159835.52916666667,Rest of Europe
39.13272,-0.9201410229836726,5349907.08,2544.04375,165702.87958333333,85.08687499999999,85.53375,94.085625,9551177.375,159835.11250000002,Rest of Europe
38.55076,-0.9515570861856975,5323264.48,2624.55625,165702.87958333333,85.66875,85.96125,93.466875,9680075.875,159835.11250000002,Rest of Europe
37.97352,-1.0157325371459032,5289226.52,2526.775,165702.87958333333,86.955,86.07625,93.405,9058833.5625,159834.69583333333,Rest of Europe
37.39096,-0.968339627515144,5252626.16,2925.38125,165702.87958333333,89.350625,88.51625,96.47,10706523.0625,159834.27916666667,Rest of Europe
36.818200000000004,-0.8640315041846351,5226680.12,2941.7,165702.87958333333,91.370625,89.838125,96.94375,11042871.1875,159834.27916666667,Rest of Europe
36.2362,-0.9273921426209928,5201308.0,2930.8375,165702.87958333333,94.01375,90.87625,95.09625,11092532.0625,159834.27916666667,Rest of Europe
35.6044,-1.0652010743397686,5172769.48,3162.175,165702.87958333333,97.419375,93.28875,98.279375,11557106.1875,159833.02916666667,Rest of Europe
34.98348,-1.0248133476656378,5144423.16,3054.84375,165702.87958333333,98.75375,91.856875,94.1325,10955256.5625,159828.02916666667,Rest of Europe
34.381280000000004,-1.0108636431023923,5119284.28,3144.74375,165702.87958333333,101.54375,94.49625,97.245625,10918664.4375,159824.69583333333,Rest of Europe
33.78528,-1.1176122005282132,5091799.84,3197.65625,165702.87958333333,104.483125,94.22562500000001,94.39,11256090.0625,159823.86250000002,Rest of Europe
33.1884,-1.185098452696958,5060893.4,3493.5812499999997,165702.87958333333,107.258125,98.16,99.474375,12537426.25,159823.86250000002,Rest of Europe
32.61864,-1.2111736152962096,5030632.72,3344.10625,165702.87958333333,110.891875,100.55125,101.5525,11843188.25,159822.19583333333,Rest of Europe
32.08244,-1.1887765741164706,5003153.88,3613.975,165702.87958333333,111.37375,100.684375,100.81,12749172.6875,159818.86250000002,Rest of Europe
31.6424,-0.955997399387081,4979810.72,3555.2375,165702.87958333333,111.555625,101.25875,100.955,11973219.5,159818.02916666667,Rest of Europe
31.318959999999997,-0.561250796299603,4965032.04,3934.14375,165702.87958333333,112.8275,105.6825,108.8675,13140062.625,159817.61250000002,Rest of Europe
31.056440000000002,-0.45422367511364675,4952710.64,3671.4875,165702.87958333333,115.93375,104.706875,104.496875,12469486.75,159815.94583333333,Rest of Europe
30.81852,-0.4525595444419412,4943829.04,4256.325,165702.87958333333,119.091875,109.911875,112.408125,14911206.1875,159816.36250000002,Rest of Europe
30.58596,-0.3609378272455235,4937557.28,3951.4875,165702.87958333333,118.681875,106.5175,106.286875,14012487.625,159816.36250000002,Rest of Europe
30.35252,-0.3269271039672579,4929132.4,4019.78125,165702.87958333333,119.38,107.554375,106.76875,13714810.875,159816.36250000002,Rest of Europe
30.11184,-0.3761192491466076,4911978.32,3946.28125,165702.87958333333,119.766875,105.0025,101.408125,13607143.25,159816.36250000002,Rest of Europe
29.8748,-0.38229810777381573,4897338.44,4116.1125,165702.87958333333,119.2525,106.496875,106.135625,14301187.1875,159815.94583333333,Rest of Europe
29.679720000000003,-0.3396393695758725,4891900.84,4309.95,165702.87958333333,118.38625,108.653125,111.071875,14503242.125,159774.69583333333,Rest of Europe
29.51772,-0.28649023152845066,4883343.52,4284.325,165702.87958333333,119.703125,106.65875,107.408125,14142423.6875,159774.69583333333,Rest of Europe
29.36656,-0.28222692690377554,4869145.04,4381.56875,165702.87958333333,112.434375,102.59125,101.329375,15038454.8125,159779.27916666667,Rest of Europe
29.26156,-0.379869940996439,4860315.76,3540.2428571428572,165702.87958333333,117.63809523809525,100.07285714285715,91.77047619047619,9969701.095238095,159779.27916666667,Rest of Europe
29.175120000000003,-0.27574871622084207,4857359.96,3859.634782608696,165703.71291666667,118.76434782608695,102.34130434782608,96.07043478260869,9845068.739130436,159778.44583333333,Rest of Europe
29.07312,-0.34901790586153,4848413.56,3863.5826086956517,165704.12958333333,112.25608695652173,97.49869565217391,90.03347826086956,9831701.260869564,159780.11250000002,Rest of Europe
28.991,-0.37343920486292764,4836031.76,3959.2956521739134,165704.96291666667,110.10826086956521,98.43521739130436,94.3295652173913,10123451.347826088,159778.86250000002,Rest of Europe
28.925120000000003,-0.3554237300651306,4822186.48,4123.94347826087,165708.29624999998,109.84130434782608,99.79173913043478,97.48739130434782,10845624.347826088,159782.61250000002,Rest of Europe
28.85752,-0.35773164931453005,4808318.48,4223.2,165708.29624999998,109.18652173913043,99.7408695652174,96.47521739130434,11545035.826086957,159778.86250000002,Rest of Europe
28.788959999999996,-0.37689784060134524,4793973.64,4093.073913043478,165705.37958333333,110.49347826086957,99.62304347826087,94.81347826086957,11467315.739130436,159777.19583333333,Rest of Europe
28.70616,-0.42086033976541026,4780137.76,4105.078260869565,165705.37958333333,109.65521739130436,99.05434782608695,94.90391304347825,10914489.347826088,159775.94583333333,Rest of Europe
28.61072,-0.5407854906667784,4760282.08,4205.3640000000005,159066.7644,105.03399999999999,96.10600000000001,94.6384,10090099.04,153429.1264,Rest of Europe
28.49404,-0.8416675067485906,4735551.68,4415.244000000001,159067.5644,102.93520000000001,96.3172,93.1876,10611061.48,153407.9264,Rest of Europe
28.3512,-0.7737767686159603,4708559.16,4553.52,159079.9644,104.9012,96.9392,94.02120000000001,10636087.36,153360.32640000002,Rest of Europe
28.200599999999998,-0.6910647924770348,4689046.2,4133.332,159096.1244,104.29119999999999,93.20639999999999,87.4188,9171107.76,153379.60640000002,Rest of Europe
28.04368,-0.7303211419333769,4671108.2,4985.692,159084.7644,103.01280000000001,99.9708,101.3708,12095546.96,153369.2064,Rest of Europe
27.881680000000003,-0.7787621651983417,4651724.04,4726.848,159086.7644,102.228,95.9348,94.5548,10682297.48,153358.8064,Rest of Europe
27.7286,-0.7117101001019718,4630674.32,4447.116,159098.3644,101.53119999999998,93.45200000000001,89.7288,9957122.56,153332.4064,Rest of Europe
27.5848,-0.6274537299057499,4609153.72,4435.312,159097.5644,102.40280000000001,93.0332,89.13879999999999,9732756.44,153330.4064,Rest of Europe
27.44336,-0.6103892082475224,4587539.0,5018.912,159098.1644,101.7236,97.714,96.72,11696710.4,153308.0544,Rest of Europe
27.3048,-0.6240338997495667,4564263.16,4989.38,159098.7644,99.5988,96.0376,96.1116,11093355.96,153340.43839999998,Rest of Europe
27.17,-0.803965147029203,4536516.24,4783.76,159108.2444,99.1456,92.904,89.15360000000001,10414281.84,153392.0944,Rest of Europe
27.02476,-0.9541436677529854,4496356.44,4969.552,159108.60439999998,99.17399999999999,95.9144,94.78039999999999,10786557.16,153388.32640000002,Rest of Europe
26.85808,-0.9355700267196302,4473222.4,4827.8240000000005,159123.4044,98.62559999999999,92.3124,88.7156,10483879.8,153394.3144,Rest of Europe
26.6932,-0.8305705178697381,4455702.36,5054.74,163651.6208,97.5316,95.402,94.37,11428591.72,153449.32640000002,Rest of Europe
26.54236,-0.6914688594417546,4438893.52,5458.2480000000005,163652.4608,98.3224,99.094,100.962,12207407.44,153479.2064,Rest of Europe
26.38968,-0.6797738254420626,4417953.84,5455.611999999999,163654.1316,100.1504,100.37559999999999,100.9928,11593792.88,153454.268,Rest of Europe
26.23172,-0.7183499801967063,4395138.32,5183.268,163661.5316,101.5284,100.5308,98.0448,11084365.12,153469.964,Rest of Europe
26.06784,-0.7501850600405267,4368566.2,5384.892,163653.7408,101.4444,100.7456,99.25280000000001,11411871.28,153441.10199999998,Rest of Europe
25.897080000000003,-0.7205623173622242,4340738.4,5029.566666666667,163655.14316,100.9504,96.5388,90.2224,10839418.0,153442.43916,Rest of Europe
25.71944,-0.6995698555448716,4305868.72,5685.583333333333,163671.79583999998,100.9288,99.30239999999999,97.0408,11832217.6,153437.79944,Rest of Europe
25.5348,-0.8280326229872117,4270873.68,5656.3,163673.419,101.8416,100.3048,97.62280000000001,11336325.6,153438.14268000002,Rest of Europe
25.343200000000003,-1.189479447285,4225817.28,3917.452896713251,163998.6867425,101.66751562715669,95.48704707556934,95.85159799085572,11086141.224315561,157568.8918018889,Rest of Europe
